Text,Family,Evidence,TopCorrect,AnyCorrect,Groundings,,,,,,,,,,,,,,,,
HGF,0,"Hepatocyte growth factor (HGF) treats ischemic disease by promoting arteriogenesis, however, its mechanism of action is not known.",,,HGNC/4893/hepatocyte growth factor/0.85366,NCIT/C51506/HGF/0.85366,NCIT/C20428/hepatocyte growth factor/0.70732,NCIT/C20451/interleukin-6/0.70732,NCIT/C116309/SOS1/0.70732,HGNC/6018/interleukin 6/0.56098,HGNC/11187/SOS Ras/Rac guanine nucleotide exchange factor 1/0.56098,,,,,,,,,,
ApoA,1,"However, other recent studies using truncated apoB molecules suggest that Cys-4326, the terminal cysteine of apoB, may be implicated in the binding to apo(a).",1,1,BE/APOA/APOA/1.0,NCIT/C105952/apolipoprotein A/0.69971,,,,,,,,,,,,,,,
LIVIN,0,"Moreover we show that the apoptotic resistance conferred by altered TEAD1 expression is mediated by the transcriptional up-regulation of Livin, a member of the Inhibitor of Apoptosis Protein (IAP) fam",,,NCIT/C20951/livin/0.85013,NCIT/C49362/BIRC7/0.70379,UP/Q96CA5/Baculoviral IAP repeat-containing protein 7/0.55745,UP/A2AWP0/Baculoviral IAP repeat-containing protein 7/0.55745,,,,,,,,,,,,,
diabetes mellitus,0,"Hence, changes in the glucometabolic milieu within 4-6 months calculated by the difference of two values of HbA1c affect the long-term prognosis of patients with CAD but without diabetes mellitus.",,,EFO/0000400/diabetes mellitus/0.85366,NCIT/C2985/diabetes mellitus/0.85366,,,,,,,,,,,,,,,
embryogenesis,0,Expression analysis of human and mouse NEMO/Nemo showed that the gene becomes active early during embryogenesis and is expressed ubiquitously.,,,NCIT/C16649/embryogenesis/0.85366,GO/0009790/embryo development/0.70732,GO/0009792/embryo development ending in birth or egg hatching/0.41463,GO/0009793/embryo development ending in seed dormancy/0.41463,,,,,,,,,,,,,
LC,0,"In the present study, the expression of P53 and MDM2 proteins were examined in specimens from a group of 20 patients (9 with primary hepatocellular carcinoma HCC and 11 with liver cirrhosis LC, linked",,,CO/0000453/Langerhans cell/0.70732,,,,,,,,,,,,,,,,
HLA-DR,1,"MARCH I is, therefore, a major regulator of HLA-DR traffic, and its loss contributes to the acquisition of the potent immunostimulatory properties of mature human DCs.",1,1,BE/HLA_DR/HLA-DR/1.0,NCIT/C16692/HLA-DR antigen/0.70732,,,,,,,,,,,,,,,
FEMORAL-ARTERY,0,Based on the prophase study cells and supernatant were harvested at the indicated time after human femoral artery endothelial cells (HFAECs) were infected with adenovirus-HGF (Ad-HGF) at 200 pfu/cell.,0,0,,,,,,,,,,,,,,,,,
TP53,0,"Therefore, we hypothesized that single-nucleotide polymorphism of BAX promoter -248G>A and TP53 72Arg>Pro gene may jointly contribute to ovarian cancer risk.",,,HGNC/11998/tumor protein p53/0.85366,NCIT/C52271/TP53/0.85366,NCIT/C17387/tumor protein-p53/0.70732,,,,,,,,,,,,,,
C-TERMINAL,0,"The integrity of the DNA-binding core domain, the N-terminal transactivation domain, and the C-terminal oligomerization domains of p53 was essential for hTERT promoter repression, whereas the proline-",0,0,,,,,,,,,,,,,,,,,
eupatilin,0,"In the present study, we investigated the potential effect of eupatilin on cell growth and its molecular mechanism of action in human endometrial cancer cells.",,,MESH/C045325/eupatilin/0.85366,,,,,,,,,,,,,,,,
PATIENT,0,"However, BPD patients carrying at least one rs2230912G-allele scored higher on both MADRS and HADS-depression scale  (nominal p-value was 0.028 and 0.003, respectively).",0,0,,,,,,,,,,,,,,,,,
HPE,0,"Abnormal gene products are most commonly detected in patients within a narrow spectrum of isolated conotruncal heart defects (minimum 5%-10% of subjects), and far less commonly in isolated laterality ",,,ORPHANET/2162/Holoprosencephaly/0.70732,,,,,,,,,,,,,,,,
NPC,0,"We also show that fibroblasts derived from different NPC patients displayed varying levels of ARF6 that is GTP-bound, which correlate with their response to sustained ARF6 activation.",,,CHEBI/80552/NPC/0.85366,,,,,,,,,,,,,,,,
CDK9,0,"At both promoters, CycT1 recruits the Cdk9 kinase, which phosphorylates RNA polymerase II to generate processive transcription complexes.",,,HGNC/1780/cyclin dependent kinase 9/0.85013,NCIT/C126981/CDK9/0.85013,NCIT/C126982/cyclin-dependent kinase 9/0.70379,,,,,,,,,,,,,,
EGF receptor,0,"The activation of EGF receptor, known to be highly expressed in psoriatic lesions, was inhibited by indigo naturalis or indirubin.",,,FA/03123/EGF receptor subfamily/0.85366,GO/0005006/epidermal growth factor-activated receptor activity/0.70732,NCIT/C17068/epidermal growth factor receptor/0.70732,,,,,,,,,,,,,,
MIR-124-3,0,"Methylation of miR-124-2 and miR-124-3 may serve as a biomarker for AR-negative PCa cells, and overexpression of miR-124 might be of potential therapeutic value for the treatment of PCa.",0,0,,,,,,,,,,,,,,,,,
P21,0,"Interestingly, levels of mutant p53 in Hec1A cells decreased markedly upon treatment with eupatilin, and p53 siRNA significantly increased p21 expression.",,,NCIT/C17783/cyclin-dependent kinase inhibitor-1A/0.70732,NCIT/C49460/CDKN1A/0.70379,HGNC/11616/transcription elongation factor A like 1/0.56098,UP/P38936/Cyclin-dependent kinase inhibitor 1/0.56098,UP/P39689/Cyclin-dependent kinase inhibitor 1/0.56098,UP/Q62092/Neuron-specific protein family member 1/0.56098,UP/P63028/Translationally-controlled tumor protein/0.56098,HGNC/1784/cyclin dependent kinase inhibitor 1A/0.55745,UP/Q9IV52/Movement protein TGB3/0.55745,,,,,,,,
HPV,0,"No EGFR exons 18, 19, and 21 mutations were detected, EGFR promoter methylation status was identified in 98 samples, and HPV 16 infection was the first frequent HPV genotype.",,,NCIT/C1951/human papilloma virus vaccine/0.70732,,,,,,,,,,,,,,,,
P16,0,Aberrant promoter methylation of p15 (INK⁴b) and p16 (INK⁴a) genes may contribute to the pathogenesis of multiple myeloma: a meta-analysis.,,,NCIT/C49511/CDKN2A/0.70379,HGNC/1787/cyclin dependent kinase inhibitor 2A/0.56098,UP/P0C044/F protein/0.56098,UP/P0C045/F protein/0.56098,UP/Q77JX3/Suppressor of RNA silencing/0.55745,,,,,,,,,,,,
HPV,0,High-risk human papillomavirus (HPV) genotypes in 293 Chinese cervical squamous cell carcinoma tissue samples were detected by an asymmetric GP5+/6+ PCR and hybridization-fluorescence polarization ass,,,EFO/0001668/human papilloma virus infection/0.70732,,,,,,,,,,,,,,,,
HLTF,0,"In the cases of laryngeal lesions, the immunolabeling intensity of HLTF significantly decreased with malignancy (p = 0.01).",,,HGNC/11099/helicase like transcription factor/0.85366,NCIT/C52110/SMARCA3/0.70732,,,,,,,,,,,,,,,
DATA,0,"In order to test whether the analysis of human tumors would provide data supporting this hypothesis in sporadic breast carcinomas, we have investigated the relationship between BRCA1 and apoptosis-rel",0,0,,,,,,,,,,,,,,,,,
REGION,0,Melanophilin directly links Rab27a and myosin Va through its distinct coiled-coil regions.,0,0,,,,,,,,,,,,,,,,,
ORIGIN,0,"The abundance of HRAD9B RNA, as judged by quantitative reverse transcription-PCR, is very low in most testicular tumors, particularly those of germ cell origin, i.e., seminomas, relative to normal tes",0,0,,,,,,,,,,,,,,,,,
catalytic,0,"Overexpression of wild-type p53 down-regulates the enzymatic activity of telomerase in various cancer cell lines through transcriptional repression of its catalytic subunit, human telomerase reverse t",,,NCIT/C52472/catalysis/0.70732,,,,,,,,,,,,,,,,
G-alpha,1,Pulse-chase experiments in HEK293 cells indicated a rapid turnover of endogenously expressed Galpha(q) and overexpressed Galpha(q) and Galpha(16) subunits.,1,1,BE/G_alpha/G-alpha/0.99995,FA/01401/G-alpha family/0.85361,,,,,,,,,,,,,,,
rho,1,"Like activated Rho and CRIK, elevated KyoT1/2 expression suppresses differentiation.",1,1,BE/RHO/RHO/0.99647,HGNC/10012/rhodopsin/0.85013,NCIT/C129079/RHO/0.85013,FA/03668/rho family/0.85013,HGNC/670/ras homolog family member D/0.56098,,,,,,,,,,,,
RORgammaT,0,Cutting edge: Ubiquitin-specific protease 4 promotes Th17 cell function under inflammation by deubiquitinating and stabilizing RORγt.,,,NCIT/C106314/nuclear receptor ROR-gamma T/0.70732,,,,,,,,,,,,,,,,
PATIENT,0,"Abnormal gene products are most commonly detected in patients within a narrow spectrum of isolated conotruncal heart defects (minimum 5%-10% of subjects), and far less commonly in isolated laterality ",0,0,,,,,,,,,,,,,,,,,
ste20-like kinase,0,The Ste20-like kinase SLK is required for ErbB2-driven breast cancer cell motility.,,,UP/O55092/STE20-like serine/threonine-protein kinase/0.85217,UP/Q9H2G2/STE20-like serine/threonine-protein kinase/0.85217,UP/O54988/STE20-like serine/threonine-protein kinase/0.85217,UP/O08815/STE20-like serine/threonine-protein kinase/0.85217,NCIT/C106220/serine-threonine-protein kinase TAO3/0.70582,UP/O00506/Serine/threonine-protein kinase 25/0.55948,UP/Q9Z2W1/Serine/threonine-protein kinase 25/0.55948,HGNC/11088/STE20 like kinase/0.2668,,,,,,,,,
PROLIFERATION,0,"Through activating the Dll4-Notch-Hey2 signaling pathway, HGF indirectly promotes the proliferation and migration ability of cells, so that offspring artery branches are formed.",0,0,,,,,,,,,,,,,,,,,
PAI-1,0,"Patients with PAI-1 deficiency show a mild to moderate bleeding diathesis, which has been exclusively ascribed to the function of PAI-1 in down-regulating fibrinolysis.",,,UP/P05121/Plasminogen activator inhibitor 1/0.85366,UP/P22777/Plasminogen activator inhibitor 1/0.85366,NCIT/C16947/plasminogen activator inhibitor-1/0.70732,NCIT/C51407/SERPINE1/0.70732,HGNC/8583/serpin family E member 1/0.26825,,,,,,,,,,,,
hepatocellular adenoma,0,"In order to improve the understanding of the role of TERT promoter mutation in liver tumorigenesis, the mutational status of the TERT promoter was analyzed in 78 hepatocellular carcinomas, 15 hepatoce",,,NCIT/C3758/hepatocellular adenoma/0.85366,,,,,,,,,,,,,,,,
STATUS,0,"Once grade and pathological nodal status (pN stage) were taken into account, SNPs in ESR1 and LSP1 showed no independent survival difference, whereas the effects of the DAPK1 SNP were removed when cor",0,0,,,,,,,,,,,,,,,,,
CONTENT,0,"SA β-Gal is also expressed in the cells in quiescence driven by serum-starvation or a high confluency, and it has been hypothesized that SA β-Gal positivity is rather a surrogate marker of high lysoso",0,0,,,,,,,,,,,,,,,,,
ARTEMISIA,0,"Eupatilin, a naturally occurring flavonoid isolated from Artemisia princeps, has anti-inflammatory, anti-oxidative, and anti-tumor activities.",0,0,,,,,,,,,,,,,,,,,
KLE,0,Eupatilin was more potent than cisplatin in inhibiting cell viability in the human endometrial cancer cell lines Hec1A and KLE.,,,CVCL/1329/KLE/0.85366,EFO/0002220/KLE/0.85366,,,,,,,,,,,,,,,
UNDERSTAND,0,This review highlights recent progress and unresolved issues in understanding the function and regulation of Arrow/Lrp5/Lrp6 in Wnt signaling.,0,0,,,,,,,,,,,,,,,,,
ER-alpha,0,Our data support a model in which Notch-1 can activate the transcription of ERalpha-target genes via IKKalpha-dependent cooperative chromatin recruitment of Notch-CSL-MAML1 transcriptional complexes (,,,NCIT/C38361/estrogen receptor 1/0.70732,UP/P03372/Estrogen receptor/0.56098,UP/P19785/Estrogen receptor/0.56098,,,,,,,,,,,,,,
DATUM,0,Our data reveal an association between the presence of HLTF and neoplastic progression of hypopharyngeal and laryngeal SCCs.,0,0,,,,,,,,,,,,,,,,,
golgi apparatus,0,"Finally, we detected an accumulation of VE-cadherin at the Golgi apparatus.",,,GO/0005794/Golgi apparatus/0.85366,UP/SL-0132/Golgi apparatus/0.85217,,,,,,,,,,,,,,,
SAMPLE,0,The results of our meta-analysis demonstrated that the frequencies of p15 (INK4b) and p16 (INK4a) promoter methylation in cancer samples were significantly higher than in normal samples  (p15 (INK4b) ,0,0,,,,,,,,,,,,,,,,,
p53,0,"The integrity of the DNA-binding core domain, the N-terminal transactivation domain, and the C-terminal oligomerization domains of p53 was essential for hTERT promoter repression, whereas the proline-",,,FA/02632/p53 family/0.85366,NCIT/C52271/TP53/0.70732,NCIT/C17387/tumor protein-p53/0.70379,HGNC/11998/tumor protein p53/0.56098,XFAM/PF11619/P53 C/0.55745,,,,,,,,,,,,
INFECTION,0,Monocyte HLA-DR and neutrophil CD64 expression in critically ill infants are related to age and infection.,0,0,,,,,,,,,,,,,,,,,
TCA8113,0,"TCA8113 cells were treated with various concentrations of cantharidin, and the cell viability and cytotoxicity were assessed using MTT and LDH assays, respectively.",,,CVCL/6851/Tca8113/0.85366,,,,,,,,,,,,,,,,
LOOP,0,"To clarify the relationship between the amino acid variations of the gp120 of human immunodeficiency virus type 1 (HIV-1) and the chemokine receptors that are used as the second receptor for HIV, we e",0,0,,,,,,,,,,,,,,,,,
rubella,0,"The most significant association was observed between haplotypes extending across the HLA class I region, ten-SNP haplotypes, and the HLA class II region (i.e. A-C-B-LTA-TNF-LST1-DRB1-DQA1-DQB1-DPA1-D",,,NCIT/C85051/rubella/0.85366,,,,,,,,,,,,,,,,
substrate,0,"Since the activity of Cdc25A toward small molecule substrates is several orders of magnitude lower than toward the physiological substrate, cyclin-CDK, we suggest that the cyclin-CDK is able to prefer",,,NCIT/C120264/substrate/0.85366,,,,,,,,,,,,,,,,
MYD88,0,Enhanced cortical expression of myeloid differentiation primary response protein 88 (Myd88) in patients with traumatic brain injury.,,,HGNC/7562/myeloid differentiation primary response 88/0.85013,NCIT/C90095/MYD88/0.85013,NCIT/C90100/myeloid differentiation primary response protein myd88/0.70379,,,,,,,,,,,,,,
STEP,0,Gamma-secretase cleavage is the final proteolytic step that releases the amyloid beta-peptide (Abeta) from the amyloid beta-protein precursor (APP).,0,0,,,,,,,,,,,,,,,,,
CUTICLE,0,The cell proliferation and CDC25B expression of epidermal keratinocytes were induced by EGF alone and confirmed to be inhibited by indigo naturalis or indirubin.,0,0,,,,,,,,,,,,,,,,,
hydrogen peroxide,0,Protein kinase CK1alpha regulates mRNA binding by heterogeneous nuclear ribonucleoprotein C in response to physiologic levels of hydrogen peroxide.,,,CHEBI/16240/hydrogen peroxide/0.85366,,,,,,,,,,,,,,,,
UK,0,Association of protein kinase C alpha (PRKCA) gene with multiple sclerosis in a UK population.,,,UP/O31749/Uridylate kinase/0.85366,XFAM/PF02512/UK/0.70732,UP/etc/None/0.12195,,,,,,,,,,,,,,
HES,0,Eupatilin showed relatively low cytotoxicity in normal human endometrial cells HES and HESC cells when compared to cisplatin.,,,BE/HES/HES/1.0,HGNC/10448/ribosome binding protein 1/0.55337,,,,,,,,,,,,,,,
ARROW,,"We discuss Arrow/Lrp5/Lrp6 interactions with Wnt and the Frizzled family of Wnt receptors, and with the intracellular beta-catenin degradation apparatus.",0,0,,,,,,,,,,,,,,,,,
APOB,,"Transgenic mice containing the normal or mutated apoB transgenes were created, and the covalent association of mutated apoB with apo(a) was assessed in mice transgenic for both apoB and apo(a).",,,HGNC/603/apolipoprotein B/0.84606,NCIT/C106031/APOB/0.84606,NCIT/C106032/apolipoprotein B-100/0.69971,,,,,,,,,,,,,,
CD36,,"Therefore, we asked the question whether these transcriptional factors interact with each other in the regulation of CD36 expression by 15(S)-HETE.",,,HGNC/1663/CD36 molecule/0.85366,FA/00528/CD36 family/0.85366,NCIT/C51310/CD36/0.85366,XFAM/PF01130/CD36/0.70732,NCIT/C18400/CSVTCG-specific TSP-1 receptor/0.70732,,,,,,,,,,,,
CDC25B,,"RT/real-time PCR and western blot method were used to analyze the CDC25B expression at the mRNA and protein levels, respectively.",,,HGNC/1726/cell division cycle 25B/0.85366,NCIT/C104837/CDC25B/0.85366,,,,,,,,,,,,,,,
PS-1,,The increase in Abeta production is associated with an increase in gamma-secretase activity but not with a detectable increase in PS1 levels.,,,UP/P49768/Presenilin-1/0.85361,UP/P49769/Presenilin-1/0.85361,NCIT/C95116/PSEN1/0.70732,NCIT/C95117/presenilin-1/0.70727,HGNC/9508/presenilin 1/0.56098,,,,,,,,,,,,
HUVEC,,"miR-370 mimic transfection also significantly increased HUVECs migration and induced the formation of capillary-like structures in HUVECs, indicated that miR-370 promoted capillary tube formation in v",,,BTO/0001949/HUVEC cell/0.70723,,,,,,,,,,,,,,,,
tumor,,Cantharidin is known to have good antitumor activity.,,,NCIT/C3262/neoplasm/0.70732,,,,,,,,,,,,,,,,
CCL21,,"To determine whether arrestins mediated differential internalization of CCR7/CCL19 vs CCR7/CCL21, we used small interfering RNA (siRNA) to knock down expression of arrestin 2 or arrestin 3 in HuT 78 c",,,HGNC/10620/C-C motif chemokine ligand 21/0.85366,NCIT/C49738/CCL21/0.85366,NCIT/C20484/small inducible cytokine-A21/0.70732,,,,,,,,,,,,,,
PRO,,"An increased risk was also associated with the TP53 Pro/Pro (OR = 4.4, 95 % CI = 1.40-13.99) and Arg/Pro genotype (OR = 2.3, 95 % CI = 1.13-4.86).",0,0,,,,,,,,,,,,,,,,,
GENE,,HRAD9B encodes a protein that is 414 amino acids long and is 55% similar and 35% identical to the HRAD9 gene product.,0,0,,,,,,,,,,,,,,,,,
RESPONSE,,"We also show that fibroblasts derived from different NPC patients displayed varying levels of ARF6 that is GTP-bound, which correlate with their response to sustained ARF6 activation.",0,0,,,,,,,,,,,,,,,,,
HCC,,"(1) rs5030719 was monomorphic and was not further analysed; (2) the rs2149356 T allele carrier state was significantly less frequent in patients with HCC than in healthy controls (OR 0.421, 95% CI 0.2",,,EFO/0000182/hepatocellular carcinoma/0.70732,NCIT/C3099/hepatocellular carcinoma/0.70732,,,,,,,,,,,,,,,
SCREEN,,Recently our genome-wide association screen identified four novel late onset AD candidate genes.,0,0,,,,,,,,,,,,,,,,,
BAX,,"Genotyping of p53 codon 72 and BAX promoter gene was examined by ASO-PCR and PICA-PCR, respectively.",,,HGNC/959/BCL2 associated X, apoptosis regulator/0.85366,NCIT/C49368/BAX/0.85366,NCIT/C17699/BCL2-associated X protein/0.70732,,,,,,,,,,,,,
HPV-16,,"No EGFR exons 18, 19, and 21 mutations were detected, EGFR promoter methylation status was identified in 98 samples, and HPV 16 infection was the first frequent HPV genotype.",,,NCIT/C14338/human papillomavirus-16/0.70727,,,,,,,,,,,,,,,,
LRP-5,,This review highlights recent progress and unresolved issues in understanding the function and regulation of Arrow/Lrp5/Lrp6 in Wnt signaling.,,,HGNC/6697/LDL receptor related protein 5/0.85013,NCIT/C95411/LRP5/0.85013,UP/O75197/Low-density lipoprotein receptor-related protein 5/0.85008,UP/Q91VN0/Low-density lipoprotein receptor-related protein 5/0.85008,NCIT/C95414/low-density lipoprotein receptor-related protein 5/0.70374,,,,,,,,,,,,
ADPKD,,Vasopressin (AVP) plays a detrimental role in autosomal dominant polycystic kidney disease (ADPKD).,,,EFO/1001496/Autosomal dominant polycystic kidney disease/0.70732,,,,,,,,,,,,,,,,
CAD,,"In 99 consecutive patients with stable coronary artery disease (CAD) and without diabetes mellitus who were seen twice in our outpatient clinic (4-6 months apart) in 1998, Delta-HbA1c (follow-up HbA1c",,,EFO/0000378/coronary artery disease/0.70732,NCIT/C26732/coronary disease/0.70732,,,,,,,,,,,,,,,
LOOP,,"This suggests that residue 440 in the C4 region, which is close to the V3 loop in the three-dimensional structure, is critical in determining which second receptor is used.",0,0,,,,,,,,,,,,,,,,,
melanophilin,,These findings suggest that melanophilin has a role in bridging Rab27a on melanosomes and myosin Va on actin filaments during melanosome transport.,,,HGNC/29643/melanophilin/0.85366,UP/Q9BV36/Melanophilin/0.85366,UP/Q91V27/Melanophilin/0.85366,,,,,,,,,,,,,,
AD,,Recently our genome-wide association screen identified four novel late onset AD candidate genes.,,,XFAM/PF09793/AD/0.70732,,,,,,,,,,,,,,,,
deacetylase,,These results identify MEF2A as a nuclear target for HDAC4-mediated repression and suggests that compartmentalization may be a novel mechanism for controlling the nuclear activity of this new family o,,,GO/0019213/deacetylase activity/0.85366,NCIT/C26503/deacetylase/0.85366,,,,,,,,,,,,,,,
APOB,,In order to definitively show which of apoB's carboxyl-terminal cysteines is essential in interacting with apo(a) we have used RecA-assisted restriction enzyme digestion coupled with site-specific mut,,,HGNC/603/apolipoprotein B/0.84606,NCIT/C106031/APOB/0.84606,NCIT/C106032/apolipoprotein B-100/0.69971,,,,,,,,,,,,,,
DISORDER,,This disorder segregates as a male lethal disorder and causes skewed X-inactivation in female patients.,0,0,,,,,,,,,,,,,,,,,
agonist,,The highly specific PAR-1 agonist peptide TFLLR also increased [Ca(2+)](i)in PAR-2-desensitized cells pretreated with thrombin.,,,CHEBI/48705/agonist/0.85366,,,,,,,,,,,,,,,,
META,,Association of glutathione S transferases polymorphisms with glaucoma: a meta-analysis.,,,XFAM/PF03724/META/0.70379,,,,,,,,,,,,,,,,
wnt,,"We discuss Arrow/Lrp5/Lrp6 interactions with Wnt and the Frizzled family of Wnt receptors, and with the intracellular beta-catenin degradation apparatus.",,,BE/Wnt/Wnt/0.99647,FA/04686/wnt family/0.85013,XFAM/PF00110/wnt/0.70379,,,,,,,,,,,,,,
melanophilin,,Melanophilin directly links Rab27a and myosin Va through its distinct coiled-coil regions.,,,HGNC/29643/melanophilin/0.85162,UP/Q9BV36/Melanophilin/0.85162,UP/Q91V27/Melanophilin/0.85162,,,,,,,,,,,,,,
PAI-1,,"RNA, but not DNA, fragments (>400 nucleotides in length) dramatically enhanced the reactivity of PAI-1 with FSAP, and 4 microg.ml(-1) RNA increased the K(a) to 1.61 +/- 0.94 x 10(6) m(-1).s(-1).",,,UP/P05121/Plasminogen activator inhibitor 1/0.85366,UP/P22777/Plasminogen activator inhibitor 1/0.85366,NCIT/C16947/plasminogen activator inhibitor-1/0.70732,NCIT/C51407/SERPINE1/0.70732,HGNC/8583/serpin family E member 1/0.26825,,,,,,,,,,,,
MB,,"Using this technique, we identified an inhibitor of HGF/MET signaling, serine protease inhibitor kunitz-type 2 (SPINT2/HAI-2), as a putative tumor suppressor silenced by promoter methylation in MB.",,,HGNC/6915/myoglobin/0.85366,,,,,,,,,,,,,,,,
STAT1,,"Previously, we have demonstrated that 15(S)-hydroxyeicosatetranoic acid (15(S)-HETE) induces CD36 expression involving STAT1.",,,HGNC/11362/signal transducer and activator of transcription 1/0.85366,NCIT/C52151/STAT1/0.85366,NCIT/C28659/signal transducer and activator of transcription-1/0.70732,NCIT/C28668/signal transducer and activator of transcription-5A/0.70732,,,,,,,,,,,,,
ligand,,Systematic evaluation of candidate ligands regulating ectodomain shedding of amyloid precursor protein.,,,CHEBI/52214/ligand/0.85366,,,,,,,,,,,,,,,,
NOTION,,"These results support the notion that besides P53 alterations, MDM2 gene deregulation seems to be an important event in hepatocarcinogenesis.",0,0,,,,,,,,,,,,,,,,,
intracellular,,"We discuss Arrow/Lrp5/Lrp6 interactions with Wnt and the Frizzled family of Wnt receptors, and with the intracellular beta-catenin degradation apparatus.",,,GO/0005622/intracellular/0.85366,,,,,,,,,,,,,,,,
EF,,"When FGF-23 was evaluated as a continuous variable, for every log10 increase in FGF-23, EF decreased during follow-up by 6.5% (β -6.5, 95% CI -11.3 to -1.73; p = 0.01).",,,UP/P40136/Calmodulin-sensitive adenylate cyclase/0.56098,UP/P31482/Phospholipase A2, membrane associated/0.56098,,,,,,,,,,,,,,
CELL,,"Thus, Rho signaling exerts an unexpectedly complex role in keratinocyte differentiation, which is coupled with induction of KyoT1/2, a LIM domain protein gene with a potentially important role in cont",0,0,,,,,,,,,,,,,,,,,
MB,,SPINT2 promoter methylation was detected in 34.3% of primary MBs examined by methylation-specific PCR.,,,HGNC/6915/myoglobin/0.85366,,,,,,,,,,,,,,,,
CODONS,,"The mutations were base transitions at codons 175, 245 and 273; no changes were observed at codon 249, characteristic for aflatoxins action.",0,0,,,,,,,,,,,,,,,,,
SITE,,"To clarify the relationship between the amino acid variations of the gp120 of human immunodeficiency virus type 1 (HIV-1) and the chemokine receptors that are used as the second receptor for HIV, we e",0,0,,,,,,,,,,,,,,,,,
MYC,,"Immunohistochemistry was performed using anti-h-TERT, and c - MYC antibodies.",,,HGNC/7553/v-myc avian myelocytomatosis viral oncogene homolog/0.85366,NCIT/C53086/MYC/0.85366,NCIT/C17391/c-MYC protein/0.70732,NCIT/C17464/oncogene MYC/0.70732,,,,,,,,,,,,,
PROTEIN,,"RT/real-time PCR and western blot method were used to analyze the CDC25B expression at the mRNA and protein levels, respectively.",0,0,,,,,,,,,,,,,,,,,
MIR-124,,Regulation and methylation of tumor suppressor miR-124 by androgen receptor in prostate cancer cells.,0,0,,,,,,,,,,,,,,,,,
beta-secretase,,Loss of function of ATXN1 increases amyloid beta-protein levels by potentiating beta-secretase processing of beta-amyloid precursor protein.,,,UP/W8W138/Beta-secretase/0.85366,,,,,,,,,,,,,,,,
tumor,,Cantharidin is known to have good antitumor activity.,,,NCIT/C3262/neoplasm/0.70732,,,,,,,,,,,,,,,,
DAPK1,,"Analysis of prognosis identified eight SNPs in six genes (MAP3K1, DAPK1, LSP1, MMP7, TOX3 and ESR1) and one region without genes on 8q24 that are associated with survival.",,,HGNC/2674/death associated protein kinase 1/0.85366,NCIT/C60653/DAPK1/0.85366,,,,,,,,,,,,,,,
ARG-5,,"These positions are highly conserved among RHO family members, and Tyr42 and Arg5 are located outside the guanine nucleotide-binding pocket.",0,0,,,,,,,,,,,,,,,,,
PATHWAY,,"Interestingly, the modulation of COL2 and COL10 gene expression was significant as rapidly as after 1 h in the presence of PTH (1-34); changes in the phosphorylation of p38 and AKT were significant on",0,0,,,,,,,,,,,,,,,,,
TAR,,The apparent flexibility of the TRM suggests that conformational rearrangements may accompany formation of CycT1-Tat-TAR ternary complexes and may contribute to different TAR recognition strategies in,0,0,,,,,,,,,,,,,,,,,
FOXH1,,Reduced NODAL signaling strength via mutation of several pathway members including FOXH1 is linked to human heart defects and holoprosencephaly.,,,HGNC/3814/forkhead box H1/0.85366,,,,,,,,,,,,,,,,
LTA,,"The telomeric class III region of the HLA complex harbors several genes, including lymphotoxin alpha (LTA), tumor necrosis factor (TNF) and leukocyte specific transcript -1 (LST1) genes, located betwe",,,HGNC/6709/lymphotoxin alpha/0.85366,NCIT/C51509/LTA/0.85366,NCIT/C20536/tumor necrosis factor-beta/0.70732,UP/P19664/Anti-H(O) lectin/0.56098,,,,,,,,,,,,,
CDC25A,,"Since the activity of Cdc25A toward small molecule substrates is several orders of magnitude lower than toward the physiological substrate, cyclin-CDK, we suggest that the cyclin-CDK is able to prefer",,,HGNC/1725/cell division cycle 25A/0.85217,NCIT/C49445/CDC25A/0.85217,NCIT/C20961/cell division cycle-25A protein/0.70582,,,,,,,,,,,,,,
LYS-441,,"Three lysines, Lys-431, Lys-440, and Lys-441 in p50 were all acetylated in vitro, and a sequence similarity among p50, p53, Tat, and activin receptor type I on these particular lysines was observed.",0,0,,,,,,,,,,,,,,,,,
nucleus,,"In the nucleus, HDAC4 associates with the myocyte enhancer factor MEF2A.",,,UP/SL-0191/Nucleus/0.85366,GO/0005634/nucleus/0.85366,,,,,,,,,,,,,,,
SCREEN,,Recently our genome-wide association screen identified four novel late onset AD candidate genes.,0,0,,,,,,,,,,,,,,,,,
β-cell,,β-Cell responsivity indices were estimated with the oral C-peptide minimal model.,,,CO/0000639/basophil cell of pars distalis of adenohypophysis/0.55948,CO/0000169/type B pancreatic cell/0.41314,,,,,,,,,,,,,,,
class II,,"The most significant association was observed between haplotypes extending across the HLA class I region, ten-SNP haplotypes, and the HLA class II region (i.e. A-C-B-LTA-TNF-LST1-DRB1-DQA1-DQB1-DPA1-D",,,FA/05024/class II subfamily/0.85366,,,,,,,,,,,,,,,,
